"Defox Extensions","Rozszerzenia Defox"
"Food Establishment","Placówka gastronomiczna"
"Generate Preview","Generuj podgląd"
"Google Sitemap Guidelines","Wytyczne mapy witryny Google"
"Government Organization","Organizacja rządowa"
"Hotel","Hotel"
"Hourly","Co godzinę"
"INDEX, FOLLOW","INDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"Improve SEO Score","Popraw wynik SEO"
"In Stock","W magazynie"
"Incorrect date formats","Nieprawidłowe formaty dat"
"Invalid AJAX action","Nieprawidłowa akcja AJAX"
"Invalid URL format","Nieprawidłowy format URL"
"Invalid URLs","Nieprawidłowe adresy URL"
"Invalid XML syntax","Nieprawidłowa składnia XML"
"Invalid validation type","Nieprawidłowy typ walidacji"
"JSON","JSON"
"JSON-LD Output","Wynik JSON-LD"
"JSON-LD copied to clipboard. Opening Google Rich Results Test...","JSON-LD skopiowany do schowka. Otwieranie Google Rich Results Test..."
"Large Sitemap File","Duży plik mapy witryny"
"Last 7 Days","Ostatnie 7 dni"
"Last 90 Days","Ostatnie 90 dni"
"Last Year","Ostatni rok"
"Loading...","Ładowanie..."
"Local Business","Lokalna firma"
"Manual Sitemap Generation","Ręczne generowanie mapy witryny"
"Medical Business","Firma medyczna"
"Missing required elements","Brakujące wymagane elementy"
"Missing required parameters: entity_type and entity_id","Brakujące wymagane parametry: entity_type i entity_id"
"Monthly","Miesięcznie"
"NGO (Non-Governmental Organization)","NGO (Organizacja pozarządowa)"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"Never","Nigdy"
"New Meta Tag Template","Nowy szablon meta tagu"
"No sitemap generation history available. Generate your first sitemap to see statistics.","Brak historii generowania mapy witryny. Wygeneruj pierwszą mapę witryny, aby zobaczyć statystyki."
"No stores have sitemap enabled. Check store-specific settings.","Żaden sklep nie ma włączonej mapy witryny. Sprawdź ustawienia specyficzne dla sklepu."
"No stores have sitemap enabled.","Żaden sklep nie ma włączonej mapy witryny."
"No structured data generated. Check if generators are enabled in configuration.","Brak wygenerowanych danych strukturalnych. Sprawdź, czy generatory są włączone w konfiguracji."
"No variable processor found for entity","Nie znaleziono procesora zmiennych dla encji"
"No variables available for this entity type.","Brak dostępnych zmiennych dla tego typu encji."
"Official Google documentation for sitemaps","Oficjalna dokumentacja Google dla map witryny"
"Online Store","Sklep internetowy"
"Organization (General)","Organizacja (ogólna)"
"Out of Stock","Brak w magazynie"
"Path Based (category/filter-price-10-20/color-red/)","Oparte na ścieżce (category/filter-price-10-20/color-red/)"
"Performance Statistics","Statystyki wydajności"
"Please correct the data sent.","Proszę poprawić wysłane dane."
"Please select entity type and enter entity ID","Proszę wybrać typ encji i wprowadzić ID encji"
"Product Group","Grupa produktów"
"Product Item","Pozycja produktu"
"Product URL (no category)","URL produktu (bez kategorii)"
"Product","Produkt"
"Professional Service","Usługa profesjonalna"
"Query Based (category?price=10-20&color=red)","Oparte na zapytaniu (category?price=10-20&color=red)"
"Recent History","Ostatnia historia"
"Redis (if available)","Redis (jeśli dostępny)"
"Restaurant","Restauracja"
"Review and fix all listed errors","Przejrzyj i napraw wszystkie wymienione błędy"
"Pulpit SEO Suite Lite","Pulpit SEO Suite Lite"
"Save Template","Zapisz szablon"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Self (Current Page)","Sama (bieżąca strona)"
"Sitemap XML Schema","Schemat XML mapy witryny"
"Sitemap generation is globally disabled. Check Settings first.","Generowanie mapy witryny jest globalnie wyłączone. Sprawdź najpierw ustawienia."
"Sitemap generation is globally disabled.","Generowanie mapy witryny jest globalnie wyłączone."
"Something went wrong while deleting the template.","Coś poszło nie tak podczas usuwania szablonu."
"Something went wrong while deleting the templates.","Coś poszło nie tak podczas usuwania szablonów."
"Something went wrong while saving the template.","Coś poszło nie tak podczas zapisywania szablonu."
"Something went wrong while updating the templates.","Coś poszło nie tak podczas aktualizacji szablonów."
"Sports Activity Location","Lokalizacja działalności sportowej"
"Store Comparison","Porównanie sklepów"
"Structured Data (Raw)","Dane strukturalne (surowe)"
"Structured Data Preview & Validator","Podgląd i walidator danych strukturalnych"
"Structured Data Preview","Podgląd danych strukturalnych"
"Structured data is valid!","Dane strukturalne są prawidłowe!"
"Successful Only","Tylko udane"
"Technical specification for sitemap format","Specyfikacja techniczna formatu mapy witryny"
"Test Template","Testuj szablon"
"Test in Google Rich Results","Testuj w Google Rich Results"
"Test in Schema.org Validator","Testuj w walidatorze Schema.org"
"The template does not exist.","Szablon nie istnieje."
"This template no longer exists.","Ten szablon już nie istnieje."
"Upload an XML or GZ sitemap file for validation","Prześlij plik mapy witryny XML lub GZ do walidacji"
"Valid Sitemap Example","Przykład prawidłowej mapy witryny"
"Validate the currently generated sitemap for a store","Waliduj aktualnie wygenerowaną mapę witryny dla sklepu"
"Website","Strona internetowa"
"Weekly","Tygodniowo"
"With Longest Category Path","Z najdłuższą ścieżką kategorii"
"With Primary Category","Z kategorią główną"
"With Shortest Category Path","Z najkrótszą ścieżką kategorii"
"XML","XML"
"Yearly","Rocznie"
"You deleted the template.","Usunąłeś szablon."
"You saved the template.","Zapisałeś szablon."
"Your sitemap contains validation errors that must be fixed for proper search engine indexing.","Twoja mapa witryny zawiera błędy walidacji, które muszą być naprawione dla prawidłowej indeksacji przez wyszukiwarki."
"Your sitemap file is quite large. Consider splitting it into multiple files.","Twój plik mapy witryny jest dość duży. Rozważ podzielenie go na wiele plików."
"Your sitemap score is below optimal. Consider implementing the suggested improvements.","Twój wynik mapy witryny jest poniżej optymalnego. Rozważ wdrożenie sugerowanych ulepszeń."

"Product Variables","Zmienne produktu"
"Category Variables","Zmienne kategorii"
"CMS Page Variables","Zmienne strony CMS"
"Store Variables","Zmienne sklepu"
"Website Variables","Zmienne strony internetowej"
"Variables","Zmienne"
"Variable copied to clipboard: ","Zmienna skopiowana do schowka: "
"Failed to copy variable","Nie udało się skopiować zmiennej"

"Address warnings and follow SEO best practices","Usuń ostrzeżenia i postępuj zgodnie z najlepszymi praktykami SEO"
"Enter the complete URL to your sitemap file","Wprowadź pełny URL do pliku mapy witryny"
"Upload XML or GZ sitemap files up to %1MB","Prześlij pliki map witryny XML lub GZ do %1MB"
"Supported formats: %1","Obsługiwane formaty: %1"

"Store name","Nazwa sklepu"
"Store URL","URL sklepu"
"Website name","Nazwa strony internetowej"
"Website URL","URL strony internetowej"
"Product name","Nazwa produktu"
"Product SKU","SKU produktu"
"Product price","Cena produktu"
"Product description","Opis produktu"
"Product short description","Krótki opis produktu"
"Product image URL","URL obrazu produktu"
"Product URL","URL produktu"
"Product category name","Nazwa kategorii produktu"
"Product category description","Opis kategorii produktu"
"Category name","Nazwa kategorii"
"Category description","Opis kategorii"
"Category image URL","URL obrazu kategorii"
"Category URL","URL kategorii"
"Number of products in category","Liczba produktów w kategorii"
"Parent category name","Nazwa kategorii nadrzędnej"
"CMS page title","Tytuł strony CMS"
"CMS page content","Zawartość strony CMS"
"CMS page identifier","Identyfikator strony CMS"
"CMS page URL","URL strony CMS"
"A total of %1 record(s) have been deleted.","Łącznie %1 rekord(ów) zostało usuniętych."
"A total of %1 record(s) have been updated.","Łącznie %1 rekord(ów) zostało zaktualizowanych."
"Add New Template","Dodaj nowy szablon"
"Additional Links Settings","Ustawienia dodatkowych linków"
"Additional Property Mappings","Dodatkowe mapowania właściwości"
"Address Information","Informacje adresowe"
"Advanced Options","Opcje zaawansowane"
"Advanced: Custom schema.org field mappings in JSON format.","Zaawansowane: Niestandardowe mapowania pól schema.org w formacie JSON."
"Alternate Name","Nazwa alternatywna"
"Alternative name for your website (e.g., commonly used abbreviation).","Alternatywna nazwa dla Twojej witryny (np. powszechnie używany skrót)."
"An unexpected error occurred: %1","Wystąpił nieoczekiwany błąd: %1"
"Are you sure you want to delete the template","Czy na pewno chcesz usunąć szablon"
"Are you sure you want to delete this template?","Czy na pewno chcesz usunąć ten szablon?"
"Area Served","Obszar obsługi"
"Attribute URL Map","Mapa URL atrybutów"
"Automatically notify search engines after sitemap generation.","Automatycznie powiadamiaj wyszukiwarki po wygenerowaniu mapy witryny."
"Available Languages","Dostępne języki"
"Available Variables by Entity Type","Dostępne zmienne według typu encji"
"Brand Attribute","Atrybut marki"
"Brief description of your organization.","Krótki opis Twojej organizacji."
"CMS Page Settings","Ustawienia stron CMS"
"Cache Lifetime","Czas życia pamięci podręcznej"
"Cache lifetime in seconds. Default: 86400 (24 hours)","Czas życia pamięci podręcznej w sekundach. Domyślnie: 86400 (24 godziny)"
"Canonical Cache Lifetime","Czas życia pamięci podręcznej adresów kanonicznych"
"Category Pagination Canonical Type","Typ adresu kanonicznego paginacji kategorii"
"Category Product Limit","Limit produktów kategorii"
"Category Settings","Ustawienia kategorii"
"Change Frequency","Częstotliwość zmian"
"Character to use as separator between attribute and value.","Znak używany jako separator między atrybutem a wartością."
"Character to use as separator between filters.","Znak używany jako separator między filtrami."
"Character to use as separator between multiple values of the same attribute.","Znak używany jako separator między wieloma wartościami tego samego atrybutu."
"Comma-separated list of ISO 639-1 language codes (e.g., en,pl,de).","Lista kodów języków ISO 639-1 rozdzielonych przecinkami (np. en,pl,de)."
"Comma-separated list of countries or regions served.","Lista krajów lub regionów obsługiwanych, rozdzielonych przecinkami."
"Comma-separated list of page identifiers to exclude from sitemap.","Lista identyfikatorów stron do wykluczenia z mapy witryny, rozdzielonych przecinkami."
"Comprehensive (All Meta Tags)","Kompleksowy (wszystkie meta tagi)"
"Compress sitemap files using gzip to reduce size.","Kompresuj pliki map witryny przy użyciu gzip, aby zmniejszyć rozmiar."
"Condition Attribute","Atrybut stanu"
"Contact Information","Informacje kontaktowe"
"Could not delete the template: %1","Nie można usunąć szablonu: %1"
"Could not save the template: %1","Nie można zapisać szablonu: %1"
"Created","Utworzono"
"Cron Schedule","Harmonogram Cron"
"Cron expression for automatic generation. Default: 0 2 * * * (daily at 2 AM)","Wyrażenie Cron dla automatycznego generowania. Domyślnie: 0 2 * * * (codziennie o 2:00)"
"Current sitemap validation failed: %1","Walidacja bieżącej mapy witryny nie powiodła się: %1"
"Custom Attribute Mappings","Niestandardowe mapowania atrybutów"
"Custom Links","Niestandardowe linki"
"Custom URLs to include in sitemap (one per line). Format: URL|priority|changefreq","Niestandardowe adresy URL do uwzględnienia w mapie witryny (jeden na linię). Format: URL|priorytet|częstotliwość_zmian"
"Custom search URL pattern. Use {base_url} and {search_term} as placeholders.","Niestandardowy wzorzec URL wyszukiwania. Użyj {base_url} i {search_term} jako symboli zastępczych."
"Customer Service Email","Email obsługi klienta"
"Customer Service Phone","Telefon obsługi klienta"
"Date when the organization was founded (YYYY-MM-DD).","Data założenia organizacji (RRRR-MM-DD)."
"Defox","Defox"
"Pamięć podręczna adresów kanonicznych Defox SEO Suite Lite","Pamięć podręczna adresów kanonicznych Defox SEO Suite Lite"
"Pamięć podręczna mapy witryny Defox SEO Suite Lite","Pamięć podręczna mapy witryny Defox SEO Suite Lite"
"Pamięć podręczna danych strukturalnych Defox SEO Suite Lite","Pamięć podręczna danych strukturalnych Defox SEO Suite Lite"
"Delete templates","Usuń szablony"
"Description","Opis"
"Disable","Wyłącz"
"Enable","Włącz"
"Enable Additional Links in Sitemap","Włącz dodatkowe linki w mapie witryny"
"Enable CMS Pages in Sitemap","Włącz strony CMS w mapie witryny"
"Enable Canonical Cache","Włącz pamięć podręczną adresów kanonicznych"
"Enable Categories in Sitemap","Włącz kategorie w mapie witryny"
"Enable Friendly URLs for Filters","Włącz przyjazne adresy URL dla filtrów"
"Enable Google Sitelinks Searchbox for your website.","Włącz pole wyszukiwania Google Sitelinks dla Twojej witryny."
"Enable Gzip Compression","Włącz kompresję Gzip"
"Enable Meta Tags Templates","Włącz szablony meta tagów"
"Enable Organization Data","Włącz dane organizacji"
"Enable Products in Sitemap","Włącz produkty w mapie witryny"
"Włącz SEO Suite Lite","Włącz SEO Suite Lite"
"Enable Sitelinks Searchbox","Włącz pole wyszukiwania Sitelinks"
"Enable Structured Data Cache","Włącz pamięć podręczną danych strukturalnych"
"Enable Website Data","Włącz dane witryny"
"Enable XML Sitemap","Włącz mapę witryny XML"
"Enable caching for structured data. Recommended for performance.","Włącz buforowanie danych strukturalnych. Zalecane dla wydajności."
"Enable for Categories","Włącz dla kategorii"
"Enable for Products","Włącz dla produktów"
"Enable or disable XML sitemap generation.","Włącz lub wyłącz generowanie mapy witryny XML."
"Enable or disable caching for canonical URLs. Recommended for performance.","Włącz lub wyłącz buforowanie adresów kanonicznych. Zalecane dla wydajności."
"Enable or disable canonical URLs for category pages.","Włącz lub wyłącz adresy kanoniczne dla stron kategorii."
"Enable or disable canonical URLs for product pages.","Włącz lub wyłącz adresy kanoniczne dla stron produktów."
"Enable or disable canonical URLs functionality.","Włącz lub wyłącz funkcjonalność adresów kanonicznych."
"Enable or disable friendly URLs for category filters.","Włącz lub wyłącz przyjazne adresy URL dla filtrów kategorii."
"Enable or disable meta tags templates functionality.","Włącz lub wyłącz funkcjonalność szablonów meta tagów."
"Enable or disable structured data generation (JSON-LD format).","Włącz lub wyłącz generowanie danych strukturalnych (format JSON-LD)."
"Włącz lub wyłącz cały moduł SEO Suite Lite.","Włącz lub wyłącz cały moduł SEO Suite Lite."
"Enter URL patterns to exclude from canonical tags (one per line). Use * as a wildcard.","Wprowadź wzorce URL do wykluczenia z tagów kanonicznych (jeden na linię). Użyj * jako symbolu wieloznacznego."
"Entity not found: %1 with ID %2","Encja nie znaleziona: %1 z ID %2"
"Error Notifications","Powiadomienia o błędach"
"Error generating sitemap: %1","Błąd generowania mapy witryny: %1"
"Error generating structured data: %1","Błąd generowania danych strukturalnych: %1"
"Error loading dashboard data: %1","Błąd ładowania danych pulpitu: %1"
"Error loading entity: %1","Błąd ładowania encji: %1"
"Error rendering JSON-LD: %1","Błąd renderowania JSON-LD: %1"
"Exclude Anchor Categories","Wyklucz kategorie kotwicy"
"Exclude Inactive Categories","Wyklucz nieaktywne kategorie"
"Exclude Invisible Products","Wyklucz niewidoczne produkty"
"Exclude Out of Stock Products","Wyklucz produkty niedostępne w magazynie"
"Exclude System Pages","Wyklucz strony systemowe"
"Exclude URL Patterns","Wyklucz wzorce URL"
"Exclude anchor categories from sitemap.","Wyklucz kategorie kotwicy z mapy witryny."
"Exclude inactive categories from sitemap.","Wyklucz nieaktywne kategorie z mapy witryny."
"Exclude out of stock products from sitemap.","Wyklucz produkty niedostępne w magazynie z mapy witryny."
"Exclude products with 'Not Visible Individually' visibility.","Wyklucz produkty z widocznością 'Niewidoczne indywidualnie'."
"Exclude system pages (404, cookies, etc.) from sitemap.","Wyklucz strony systemowe (404, ciasteczka, itp.) z mapy witryny."
"Excluded CMS Pages","Wykluczone strony CMS"
"Excluded Page Identifiers","Wykluczone identyfikatory stron"
"Excluded Product Types","Wykluczone typy produktów"
"Facebook URL","URL Facebook"
"Fatal error during generation: %1","Błąd krytyczny podczas generowania: %1"
"File size exceeds maximum limit of %1MB","Rozmiar pliku przekracza maksymalny limit %1MB"
"File upload validation failed: %1","Walidacja przesyłania pliku nie powiodła się: %1"
"Files generated:","Wygenerowane pliki:"
"Filter Separator","Separator filtrów"
"Founding Date","Data założenia"
"Friendly URLs","Przyjazne adresy URL"
"Full URL to your organization logo.","Pełny adres URL do logo Twojej organizacji."
"GTIN-13/EAN Attribute","Atrybut GTIN-13/EAN"
"GTIN-14 Attribute","Atrybut GTIN-14"
"GTIN-8 Attribute","Atrybut GTIN-8"
"Generate structured data for category pages.","Generuj dane strukturalne dla stron kategorii."
"Generate structured data for product pages.","Generuj dane strukturalne dla stron produktów."
"Generation Settings","Ustawienia generowania"
"Generation completed with %1 errors","Generowanie zakończone z %1 błędami"
"Generation failed:","Generowanie nie powiodło się:"
"Google","Google"
"How frequently CMS pages are likely to change.","Jak często strony CMS prawdopodobnie się zmienią."
"How frequently additional links are likely to change.","Jak często dodatkowe linki prawdopodobnie się zmienią."
"How frequently category pages are likely to change.","Jak często strony kategorii prawdopodobnie się zmienią."
"How frequently product pages are likely to change.","Jak często strony produktów prawdopodobnie się zmienią."
"ID","ID"
"ISO 3166-1 alpha-2 country code (e.g., US, GB, PL).","Kod kraju ISO 3166-1 alpha-2 (np. US, GB, PL)."
"If enabled, canonical URLs will be used for filtered category pages.","Jeśli włączone, adresy kanoniczne będą używane dla filtrowanych stron kategorii."
"If enabled, canonical URLs will be used for paginated category pages.","Jeśli włączone, adresy kanoniczne będą używane dla stron kategorii z paginacją."
"If enabled, canonical tags will not be added to anchor categories.","Jeśli włączone, tagi kanoniczne nie będą dodawane do kategorii kotwicy."
"If enabled, canonical tags will not be added to products with 'Not Visible Individually' visibility.","Jeśli włączone, tagi kanoniczne nie będą dodawane do produktów z widocznością 'Niewidoczne indywidualnie'."
"Include CMS pages in sitemap generation.","Uwzględnij strony CMS w generowaniu mapy witryny."
"Include Product Images","Uwzględnij obrazy produktów"
"Include Product List in Categories","Uwzględnij listę produktów w kategoriach"
"Include Reviews","Uwzględnij recenzje"
"Include additional custom links in sitemap generation.","Uwzględnij dodatkowe niestandardowe linki w generowaniu mapy witryny."
"Include categories in sitemap generation.","Uwzględnij kategorie w generowaniu mapy witryny."
"Include hreflang tags for multilingual sitemaps.","Uwzględnij tagi hreflang dla wielojęzycznych map witryny."
"Include organization information in structured data.","Uwzględnij informacje o organizacji w danych strukturalnych."
"Include product images in sitemap entries.","Uwzględnij obrazy produktów w pozycjach mapy witryny."
"Include product list in category structured data.","Uwzględnij listę produktów w danych strukturalnych kategorii."
"Include product reviews in structured data.","Uwzględnij recenzje produktów w danych strukturalnych."
"Include products in sitemap generation.","Uwzględnij produkty w generowaniu mapy witryny."
"Include website information in structured data.","Uwzględnij informacje o witrynie w danych strukturalnych."
"Instagram URL","URL Instagram"
"Invalid AJAX action: %1","Nieprawidłowa akcja AJAX: %1"
"Invalid entity type: %1","Nieprawidłowy typ encji: %1"
"Last 30 Days","Ostatnie 30 dni"
"LinkedIn URL","URL LinkedIn"
"Logo URL","URL logo"
"MPN Attribute","Atrybut MPN"
"Map additional product attributes to schema.org properties. Format: property_name=attribute_code (one per line).","Mapuj dodatkowe atrybuty produktów na właściwości schema.org. Format: nazwa_właściwości=kod_atrybutu (jeden na linię)."
"Map attribute codes to friendly URL keys. Format: attribute_code=friendly_name (one per line)","Mapuj kody atrybutów na przyjazne klucze URL. Format: kod_atrybutu=przyjazna_nazwa (jeden na linię)"
"Maximum Category Depth","Maksymalna głębokość kategorii"
"Maximum category depth to include (0 = no limit).","Maksymalna głębokość kategorii do uwzględnienia (0 = bez ograniczeń)."
"Maximum number of products to include in category structured data.","Maksymalna liczba produktów do uwzględnienia w danych strukturalnych kategorii."
"Meta Description Only","Tylko meta opis"
"Meta Keywords Only","Tylko meta słowa kluczowe"
"Meta Robots Only","Tylko meta robots"
"Meta Tag Template Information","Informacje o szablonie meta tagów"
"Meta Tags","Meta tagi"
"Meta Title Only","Tylko meta tytuł"
"Model Attribute","Atrybut modelu"
"Modified","Zmodyfikowano"
"Multi-Value Separator","Separator wielowartościowy"
"Name","Nazwa"
"No variable processor found for entity type: %1","Nie znaleziono procesora zmiennych dla typu encji: %1"
"No variable processor found for entity: %1","Nie znaleziono procesora zmiennych dla encji: %1"
"Open Graph Only","Tylko Open Graph"
"Organization Information","Informacje o organizacji"
"Organization Name","Nazwa organizacji"
"Organization Type","Typ organizacji"
"Organization tax identification number.","Numer identyfikacji podatkowej organizacji."
"Override Meta Description","Nadpisz meta opis"
"Override Meta Keywords","Nadpisz meta słowa kluczowe"
"Override Meta Title","Nadpisz meta tytuł"
"Override existing meta description even if it's already set.","Nadpisz istniejący meta opis, nawet jeśli jest już ustawiony."
"Override existing meta keywords even if it's already set.","Nadpisz istniejące meta słowa kluczowe, nawet jeśli są już ustawione."
"Override existing meta title even if it's already set.","Nadpisz istniejący meta tytuł, nawet jeśli jest już ustawiony."
"Page Variables","Zmienne strony"
"Parent Category Variables","Zmienne kategorii nadrzędnej"
"Path relative to Magento root directory where sitemap files will be stored. Default: media/maps/","Ścieżka względem katalogu głównego Magento, gdzie będą przechowywane pliki mapy witryny. Domyślnie: media/maps/"
"Pinterest URL","URL Pinterest"
"Priority of CMS pages relative to other URLs (0.0 to 1.0).","Priorytet stron CMS względem innych adresów URL (0.0 do 1.0)."
"Priority of additional links relative to other URLs (0.0 to 1.0).","Priorytet dodatkowych linków względem innych adresów URL (0.0 do 1.0)."
"Priority of category pages relative to other URLs (0.0 to 1.0).","Priorytet stron kategorii względem innych adresów URL (0.0 do 1.0)."
"Priority of product pages relative to other URLs (0.0 to 1.0).","Priorytet stron produktów względem innych adresów URL (0.0 do 1.0)."
"Processing:","Przetwarzanie:"
"Processor class %1 must implement %2","Klasa procesora %1 musi implementować %2"
"Product Attribute Mapping","Mapowanie atrybutów produktu"
"Product Canonical URL Type","Typ kanonicznego adresu URL produktu"
"Product Settings","Ustawienia produktów"
"Product types to exclude from sitemap.","Typy produktów do wykluczenia z mapy witryny."
"Sales Email","Email sprzedaży"
"Sales Phone","Telefon sprzedaży"
"Search URL Pattern","Wzorzec URL wyszukiwania"
"Select CMS pages that should not have canonical tags.","Wybierz strony CMS, które nie powinny mieć tagów kanonicznych."
"Select product types that should not have canonical tags.","Wybierz typy produktów, które nie powinny mieć tagów kanonicznych."
"Select the attribute to use for GTIN-13/EAN (13-digit barcode).","Wybierz atrybut do użycia dla GTIN-13/EAN (13-cyfrowy kod kreskowy)."
"Select the attribute to use for GTIN-14 (14-digit barcode).","Wybierz atrybut do użycia dla GTIN-14 (14-cyfrowy kod kreskowy)."
"Select the attribute to use for GTIN-8 (8-digit barcode).","Wybierz atrybut do użycia dla GTIN-8 (8-cyfrowy kod kreskowy)."
"Select the attribute to use for Manufacturer Part Number.","Wybierz atrybut do użycia dla numeru części producenta."
"Select the attribute to use for product brand.","Wybierz atrybut do użycia dla marki produktu."
"Select the attribute to use for product condition (new/used/refurbished).","Wybierz atrybut do użycia dla stanu produktu (nowy/używany/odnowiony)."
"Select the attribute to use for product model.","Wybierz atrybut do użycia dla modelu produktu."
"Select the pattern for friendly URLs.","Wybierz wzorzec dla przyjaznych adresów URL."
"Select the type of canonical URL to use for paginated category pages.","Wybierz typ kanonicznego adresu URL do użycia dla stron kategorii z paginacją."
"Select the type of canonical URL to use for products.","Wybierz typ kanonicznego adresu URL do użycia dla produktów."
"Select the type of organization.","Wybierz typ organizacji."
"Send email notifications when sitemap generation fails.","Wysyłaj powiadomienia email, gdy generowanie mapy witryny się nie powiedzie."
"Sitemap Path","Ścieżka mapy witryny"
"Sitemap directory","Katalog mapy witryny"
"Sitemap file not found for store %1. Generate sitemap first.","Plik mapy witryny nie znaleziony dla sklepu %1. Najpierw wygeneruj mapę witryny."
"State/Region","Województwo/Region"
"Stores processed:","Przetworzonych sklepów:"
"Structured Data (JSON-LD)","Dane strukturalne (JSON-LD)"
"Success rate:","Wskaźnik sukcesu:"
"Successfully generated %1 sitemap files","Pomyślnie wygenerowano %1 plików mapy witryny"
"Successfully generated %1 sitemap files for %2 stores","Pomyślnie wygenerowano %1 plików mapy witryny dla %2 sklepów"
"Tax ID","ID podatkowe"
"Tech Support Email","Email wsparcia technicznego"
"Tech Support Phone","Telefon wsparcia technicznego"
"Template with id","Szablon z ID"
"This section requires 'Enable Structured Data' and 'Enable Organization Data' to be set to Yes.","Ta sekcja wymaga ustawienia 'Włącz dane strukturalne' i 'Włącz dane organizacji' na Tak."
"This section requires 'Enable Structured Data' and 'Enable Website Data' to be set to Yes.","Ta sekcja wymaga ustawienia 'Włącz dane strukturalne' i 'Włącz dane witryny' na Tak."
"This section requires 'Enable Structured Data' and 'Enable for Products' to be set to Yes.","Ta sekcja wymaga ustawienia 'Włącz dane strukturalne' i 'Włącz dla produktów' na Tak."
"TikTok URL","URL TikTok"
"Twitter/X URL","URL Twitter/X"
"Type","Typ"
"URL Pattern","Wzorzec URL"
"URL validation failed: %1","Walidacja URL nie powiodła się: %1"
"Unable to access sitemap URL. HTTP status: %1","Nie można uzyskać dostępu do URL mapy witryny. Status HTTP: %1"
"Use Canonical for Category Filters","Użyj kanonicznych dla filtrów kategorii"
"Use Canonical for Category Pagination","Użyj kanonicznych dla paginacji kategorii"
"VAT ID","NIP"
"VAT identification number.","Numer identyfikacji VAT."
"Waliduj mapę witryny - SEO Suite Lite","Waliduj mapę witryny - SEO Suite Lite"
"Validation failed: %1","Walidacja nie powiodła się: %1"
"Value Separator","Separator wartości"
"Variable copied to clipboard:","Zmienna skopiowana do schowka:"
"Warnings:","Ostrzeżenia:"
"We can't","Nie możemy"
"Website Information","Informacje o witrynie"
"YouTube URL","URL YouTube"
"Your organization/company name.","Nazwa Twojej organizacji/firmy."
